imdbid,videoid,description
tt0383216,ti42vZVtgvY,Clouseau updates a wary Dreyfus on his investigation.
tt0102926,99Ptctl5_qQ,"After probing Clarice's background, Lecter mocks the FBI questionnaire and issues a gruesome warning."
tt0102926,UhDZPYu8piQ,Lecter helps Clarice analyze Buffalo Bill's nature.
tt0086567,k9WhxTOA19s,"Overwhelmed by the specter of inevitable doom, David breaks down to Jennifer and they kiss."
tt0102926,BWDYUMTmHjU,"Lecter and Clarice discuss the modus operandi of Buffalo Bill, a serial killer at large."
tt0102926,OLBotH5Bki8,Lecter draws a traumatic memory from Clarice : the slaughtering of the spring lambs.
tt0072251,hIoCskqjp9c,"Mr. Blue gives detailed instructions on the money drop, unaware that the cash has not yet arrived."
tt0094142,eo6MfN5Lcws,Owen sneaks up on a sleeping Momma with a trumpet; Momma racks Larry with a cane.
tt0383216,x87nnioiLP8,"Clouseau loses his ""miracle pill,"" setting off a chain of mishaps."
tt0094142,RQk7-GqzZCc,Larry meets Momma and gets hit in the head with a frying pan.
tt0263757,rfdF7LBQ8Ic,Molly has trouble letting go of her things at her yard sale.
tt0055614,hMMAB3MNCKw,Riff counsels the Jets to keep things cool.
tt0072251,bkpuLB3ftow,Mr. Green enjoys some quality time with his portion of the ransom money until the authorities show up.
tt0102926,YlRLfbONYgM,Clarice shares painful memories in exchange for Lecter's psychological insights.
tt0383216,RiBRrKC_6pE,Clouseau gets his hands stuck while questioning Larocque.
tt0070915,aClqNJOXy-w,Gator makes a prison break but is chased down.
tt0100530,cdFiubg8UnQ,Ned reads a letter detailing how and why Barley sold secrets to the Soviets.
tt0070915,G-tFJHYBqjo,"Gator gets introduced to Rebel"" Roy at the pool hall."
tt0055614,eZtQn-GAemQ,The Jets challenge The Sharks to a rumble and agree on a location and weapons to be used.
tt0055614,_SQ4ogstDVE,Tony and Maria sing about their hope to run away together.
tt0070915,6Dyph0wJBcA,Gator is anything but intimidated when Big Bear sticks a knife up to his throat.
tt0102926,yNeQm5aqrHo,Clarice has a growing suspicion that the caretaker of Mrs. Lippman's house is the long-sought killer Buffalo Bill.
tt0070915,qqaFGM-AyNA,Gator is chased by a cop and loses him after a high-speed chase.
tt0072251,nDlEcFRZUYI,Green gives himself away when he sneezes and Lt. Garber recognizes him as Blue's accomplice.
tt0094142,gpW3ywIoyr0,Owen scares Larry when he realizes that he didn't keep his promise to kill Momma.
tt0070915,89uZslA-efY,Lou takes off her dress and takes a romp in the lake with Gator.
tt0070915,W6udsqodIzo,Two sexy young girls flirt with Gator.
tt0383216,ZXfw1y8Mbfo,Clouseau questions Xania and makes good use of her soundproof recording room.
tt0070915,fgEjlKNllEU,Lou does her best dirty talk to arouse Gator's attention.
tt0072325,boCpijI2k5I,Dorinda shows off the merchandise to some fellow pimps.
tt0094142,v3dCP69-IFU,"Tired of his mother's abuse, Owen poisons Momma's Pepsi, but then has second thoughts."
tt0055614,YhSKk-cvblc,Anita sings about the great land of America.
tt0070915,g-2hB5Kd5aM,Connors and Junior chase Gator.
tt0263757,CtTjc4nJlDM,Ray and Molly have an all-out insult brawl over some dishwashing.
tt0102926,V5dA92wqmME,"Lecter greets Clarice, whom he learns is an FBI trainee."
tt0070915,cRsKzW5Fszc,Gator fights off his captors and Big Bear to escape with Lou.
tt0383216,Z6oeAdemFZw,A dialect coach asks Clouseau to repeat a simple phrase.
tt0100530,Ii5azc-GzXg,American Colonel Quinn leads an informal interrogation on Barley who replies with wry wit.
tt0102926,QRqXBsgnYok,Buffalo Bill terrorizes Catherine while holding her in a well in his basement.
tt0072325,OHHn-_aJQ7s,Truck takes out a hired killer with the help of his trusty sidearm.
tt0263757,lu9yr0xefYQ,Molly tries to get Neal to stay as he desperately tries to flee her chaotic apartment.
tt0383216,eu-afVml4MM,"After saving Nicole with the Heimlich, Clouseau questions Ponton about the latest murder."
tt0086567,KXzNo0vR_dU,"David and Jennifer hack into the computer and initiate a game of ""Global Thermonuclear War."""
tt0263757,DDb0S3nIfNA,Molly meets Ray in the bathroom at her birthday party and they talk about wrinkles and germs.
tt0263757,NG4z6W4Zp_0,Roma fires Molly. Molly criticizes Roma's mothering.
tt0383216,ZgBPFyzsqFg,Clouseau causes an international incident getting through airport security.
tt0072251,s-Sx_dMw8oA,Mr. Blue and his heavily armed men take control of a subway car.
tt0092003,L8_G6h_pK1o,"In the pale moonlight, Curly thinks about the trouble that is up ahead."
tt0094142,7EXefCHq6OQ,"After hearing about his wife's demise, Larry tries to convince Owen to turn himself in."
tt0086567,tGNBdjVO04Y,Joshua searches for the codes to launch the missiles while McKittrick and General Beringer argue about what to do.
tt0072325,cMnkhxzCLyA,"After Garrity spouts off some redneck racial slurs, Truck beats the hell out of him."
tt0054428,Om2UW4c_vqU,"The Kiowas come for Rachel, attacking the Zachary home."
tt0054428,9anDqvXfdu4,The Kiowas seek to trade with Ben : their horses for his sister.
tt0072325,nCgg5XIxxjY,Truck and Jerry wreak havoc in a bar.
tt0055614,RgHtBxOs4qw,Maria sings at the bridal shop.
tt0100530,6jS65g5UnWM,Katya turns the tables by asking Barley some tough questions of her own.
tt0098546,4ega5Rcct2s,"TV Commercial for U-62's new action show, Gandhi II."
tt0072325,uaDgwjVu8ik,Truck and Jerry pursue Gator through the streets of Los Angeles.
tt0072325,YTnxiXd0qwA,Truck does not hesitate to kill Dorinda when she pulls a piece on him.
tt0057413,nwQ5zHdDFng,"Oblivious to his wife's deception, Clouseau is pleased to find his violin repaired."
tt0094142,1cTY-JnvfYI,"When Owen is about to lose it and kill Momma, Larry agrees to do it for him."
tt0054428,cv62uysSvQE,"When all seems lost, Cash returns to fight alongside Ben ; Rachel kills an approaching Kiowa."
tt0072251,pcyg0H7EU3c,Lt. Garber bargains for more time from Mr. Blue to no avail.
tt0054428,gwEeqSGSL3g,"With rifles blazing, the Zachary clan defends their home from a Kiowa attack."
tt0094142,9ecF-Go9lt8,Owen and Larry save Momma from falling off the train... then she kicks Larry off the train.
tt0057413,SOnb-cyRdAg,Simone finally whisks Clouseau into bed and the others out the door.
tt0098546,cvy2tRH7HNE,"In this Indiana Jones parody, George steals the Oscar statue, runs from a giant rock, and gets crushed in the street."
tt0057413,ZYLekT6cYwY,Sir Charles and the Princess discuss their previous evening together.
tt0057413,Wh4oSUvSQTQ,Three different men pursue Simone in her room; she works to keep them apart.
tt0057413,uvXwt5HNFLU,"Under cross-examination, Clouseau is framed as the thief."
tt0086567,U2_h-EFlztY,David hacks into the school computer and changes Jennifer's flunking grade.
tt0100530,31usxLUiuhs,Dante meets with Barley to discuss his hope for a new Russia.
tt0100530,ulMNuwN1C-8,"Barley describes the happenings at the writer's retreat, including his ability to improvise a jazz band."
tt0057413,z3YKH7m0P4c,Simone pretends to bathe while hiding her men from Clouseau.
tt0055614,DyofWTw0bqY,Tony sings of his newfound love for Maria.
tt0072325,lTd2m2J2XmU,Truck and Jerry take out Gator in a gun fight.
tt0383216,1daKtciMLiE,"Questioning a French soccer team, Clouseau attempts to identify distant footsteps."
tt0086619,HHFbltJSRxo,Anshel relishes getting accepted to the yeshiva.
tt0102926,ovQk7fd4_Co,"Clarice navigates a dark cellar to find Buffalo Bill, unaware that he's watching her through infrared goggles."
tt0098546,i_9C6d3VVHM,"When R.J. misplaces his file, he blames Stanley and fires him."
tt0383216,uDqSQGOtixE,"Surrounded by French media, Clouseau has a message for the killer."
tt0263757,raVKed5rdgM,Molly's boy target at her birthday party is the musician Neal - and she HAS to have him!
tt0086567,F7qOV8xonfY,"David teaches Joshua the no-win game of Tic Tac Toe and, in the process, averts global thermonuclear war."
tt0098546,-ui9TwNrNEw,George imagines himself rescuing Stanley as Rambo.
tt0094142,7FgWn6jQuTQ,"Larry watches his ex-wife, Margaret appear on the Oprah Winfrey Show to promote the books she stole from him."
tt0092003,tk2vET4aFW8,Ringo kills Plummer in a dramatic standoff.
tt0092003,TO01P7dpKV4,Ringo and Dallas flirt before they embrace each other and kiss.
tt0092003,UdT8lSEVHZU,Curly and the other men defend the stagecoach from an Apache ambush.
tt0092003,z5s04znNyMM,"Ringo offers Hatfield some liquor, but he refuses."
tt0086619,wPO6KyIYst4,"Yentl laments the fact that, because she is a woman, she is not allowed to fulfill her ambitions of studying the Talmud."
tt0086619,yAgMoKBGjT8,"Yentl witnesses how Hadass waits on Avigdor hand and foot, noting through song that it's no wonder he loves her."
tt0092003,2TITAbyObTw,Curly and his men surround Ringo and arrest him.
tt0092003,q8CXKTH5950,"Mrs. Mallory is happy to meet her new baby, but surprised to learn that the child is a girl."
tt0092003,3t1YQOfYndM,Curly and Teddy have a chat about Apache attacks.
tt0092003,zRsPSJWe5sY,Trevor Peacock pitches his burbon to the local saloon.
tt0092003,bLmYWtqC8pc,The men watch as Ringo and Dallas ride off together on their stolen horses.
tt0084732,5FMiM08gFtQ,Gail corners Brooke on the balcony and tells her to jump.
tt0107863,DeYew_zLc_c,Jesse rescues his friends while dressed as a Ku Klux Klan member.
tt0091875,6CxOSOVI76c,"While Danny and Ray argue about who shot Gonzalez, guns fire again forcing them to finish their job."
tt0108187,H6fBnHvdZeI,Jacques pretends to be a physician when summoned for Hans.
tt0098042,aUdbjoT_DPQ,An impromptu game of football in the store leaves Ernie out cold.
tt0108187,sCJ_SlkCT_o,"Jacques attempts to infiltrate a club in a disguise, but is immediately discovered."
tt0108187,jd3KM4imjr4,Inspector Clouseau's longtime friend Cato offers his services to Clouseau's son.
tt0098042,XVGIvc6G6yg,"Lester asks a nervous Dave about Ernie's whereabouts, unaware that the evidence is hanging before his eyes."
tt0108187,p0Ov897MYiw,Commisioner Dreyfus tails Jacques only to discover the Inspector already has someone hot on his tail.
tt0098042,kCtsoBRr1Z0,Sunny seeks help from the bumbling Lester.
tt0108187,zZlbperC3ns,Commisioner Dreyfus weds Jacques's mother and discovers there is another member to the family.
tt0108187,dPk7S_LiI1I,"Jacques uses the hospital remote in order to adjust the television, but instead sends the Commisioner for a ride."
tt0098042,s2xKn06X9cQ,Dave realizes that he is getting deeper and deeper into trouble.
tt0098042,goOhv_1FYsE,"Dave can't seem to do anything right, so Sunny has to clean up his mess."
tt0098042,S-hMzdxcOD0,Ernie toys with the idea of sending Dave to an icy grave.
tt0108187,jZXHcvhr2p8,Officer Jacques makes a fashionable entrance at the scene of an accident involving Commisioner Dreyfus.
tt0098042,0NSgeb0dBLY,Sunny decides the freezer is a good place to keep Ernie.
tt0108187,RFAfyPXisjQ,Commisioner Dreyfus discovers revealing information about Jacques' family from his mother.
tt0108187,8ygfQ6oSNiU,Jacques consults Professor Balls for a disguise.
tt0107863,mjo4d488_yE,The posse attacks the enemy camp and acquires a case full of gold.
tt0108187,l3t1ZSuwLzg,Jacques fumbles in his rescue of the princess while Hans battles the invading militia.
tt0098042,wy1eWsC2sL8,Dave is startled to find his partner's dead body in the freezer.
tt0098042,iGJCWeK7YCA,"Sunny tries to negotiate with Dave, but when he balks, she locks him in the freezer."
tt0107863,YhdrJfDiIkM,Jesse and the posse overpower Col. Graham's forces when they are found A.W.O.L.
tt0070653,Ip-dPqtyXRs,"When McLeod and Filchock recruit Scorpio to kill Cross, Scorpio begins to ask questions of his own."
tt0098042,QNrM2ICShJ4,"After a few anxious moments, Sunny and Dave successfully push Lester's car into the river and watch it sink."
tt0114287,9u_76dg61ns,"Archibald wins"" the sword fight, but while Robert is on his knees, he grabs the blade at his throat, then kills Archibald."
tt0114287,o_yIykgKbeQ,"After Montrose acts against them, the villagers and Robert discuss how best to retaliate."
tt0091875,vjKoaNcefSU,A little kid flips off Ray while Danny questions a woman about Gonzalez.
tt0084732,Rc8ybU83qHU,Sam's /*259*/) mother helps him work through George's dream in the hopes of finding clues about his death and expresses worry at Sam's involvement.
tt0114287,CeYoUJYqAQc,Guthrie challenges Cunningham to a sword fight.
tt0122690,hghczTVgav0,Sam tells the guys a story about interrogation and the limits that every man has.
tt0107863,mCVwWrfOT3s,Lana criticizes Jesse for leaving.
tt0385988,FypqAWaSTFU,"After Godfrey's powers turn the Wolf into a man, he learns that there are still people who do not fear him."
tt0385988,6G8ExBEJEMQ,"Dagger tricks Linet into believing that he is her grandmother, and then attacks her."
tt0122690,Rt8Bfir3A4Y,Sam chases Deirdre through the streets of Paris.
tt0114287,a2gMY3TRx8s,"Robert explains honor to his children, then has a moment alone with his wife Mary."
tt0107863,MYuEOOe0xSE,Col. Graham forces prisoners to choose between execution and fighting in battle.
tt0114287,aYbNb8eaTCY,Archibald sets fire to Mary's house then rapes her.
tt0122690,bMDdjhWe9NQ,Sam bravely walks Vincent through the steps as he surgically removes a bullet from Sam's abdomen with no anesthetic.
tt0122690,XnD8FsykE08,"The team finally catches the target and acquires the briefcase, but they are betrayed."
tt0122690,fR0Sh0C6jFE,Sam chases Deirdre through the streets of Paris and finally catches her.
tt0122690,OrZB5n0tNAI,Sam exposes Spence as a fraud.
tt0107863,69aok-u1esc,Jesse reconnects with Papa Joe.
tt0091875,-Luy502C920,"Danny and Ray are confronted by two muggers, who are surprised to learn that their ""victims"" are cops."
tt0385988,NG1KirPJLSQ,Lady Jean sings a comforting lullaby to a frightened Linet before bed.
tt0114287,P_GbbXL9E78,Robert and Archibald engage in their first sword fight.
tt0091875,hkFSMV93VeA,"Ray and Danny drop their pants at the order of Gonzalez, chase him outside, and ultimately lose their suspect."
tt0107863,1D-v8EcGV2Q,Jesse stops into a town with his posse and kills the demons of his past.
tt0091875,sA0SngAZcdA,Danny and Ray catch Gonzalez and make him recite the Miranda rights.
tt0091875,ToK_9NLtr7M,Snake and Julio's plan backfires when their own men turn out to be cops.
tt0107863,jusrkQ2Zg8o,Jesse kills Col. Graham in a final showdown.
tt0107863,MJ0qQkcBNPs,"Jimmy recruits Father Time into the posse, but Col. Graham arrives and forces them to run."
tt0091875,hgFClV33aH0,"When three suspects pretend to not speak English, Ray and Danny pull out something they can understand - their guns."
tt0385988,tm6qzug9AS8,"Allen sings ""Green in the Blue"" with the townspeople."
tt0084732,5F6pso8VBhc,Sam stops by Brooke's apartment the day after the thief who stole his jacket was murdered.
tt0070653,KE0awhgSLmE,Cross gets the drop on an assassin at a construction site and throws him off a building.
tt0114287,xR1YEOrYOdw,Rob confronts a band of cattle thieves and kills their leader.
tt0091875,aJhtBJETQF8,Danny and Ray make Snake take part in a rigged line-up of suspects.
tt0075268,5TbuwxXBfoA,"Craig is introduced to the ""Grease Man"" and ""Batman""."
tt0091875,nn-nEk5kpz0,"When Ray and Danny refuse Julio's bribe, they get dumped into a trash compactor as it starts to compact."
tt0385988,v1dTnLPL9gU,Dagger sings a song about strangers with Linet in the woods while also trying to secretly attack her.
tt0385988,2PVdztmMSzI,A fearless and innocent Linet sings a song in the woods about hope and confidence.
tt0070653,4GLcbZQoPNk,Cross creates a distraction to get the drop on McLeod.
tt0385988,blDYzZvYAak,A confident and conceited Dagger sings a song about his evil ways.
tt0100680,OQVIkVIf_BE,Stanley gets defensive when the shoe repair man asks him to sign for his shoes.
tt0100680,mUzu93AhMuE,Sharon throws a fit when she discovers that her husband bought alcohol with the money she was saving.
tt0091875,456l6TpeE1E,Logan forces Ray and Danny to take a vacation.
tt0122690,dJFR7xbOIuw,"Sam's uneasy feeling about doing the deal in the tunnel is validated when he spots a sniper on the bridge above, and shoots him dead."
tt0075268,stelirVdNdI,"Joe gives Craig some relationship advice, namely, that there is no growth without a little burn."
tt0114287,_dtNz4Te0Gw,"When Montrose attempts to arrest Robert he refuses to do his bidding, then pulls a knife on Archibald."
tt0091875,F3f7Li9T4n4,"Danny takes a bullet during a raid, and Ray searches for the wound."
tt0091875,opseGWIdLd4,Things quickly turn violent when Gonzalez and Danny arrange to trade Anna for the cocaine.
tt0107863,lqdyZpgCnXQ,Jimmy humors the posse as he defends himself in a discussion about racial history.
tt0084732,-oeFJvhvMik,"When Sam gets stuck while working through George's dream, Brooke helps him with the missing piece."
tt0100680,F10EFVISERQ,Kelly tells her mother that she got pregnant just to spite her.
tt0084732,9hCHM2Oj1wQ,"While Brooke is working the auction downstairs, Sam takes the opportunity to snoop in her office to investigate a newspaper clipping she ripped up earlier."
tt0075268,SQ_rMhKlNFE,Craig and Joe switch up their partners on a double date.
tt0100680,V-eoS6kEyeg,Stanley walks Iris home after he fails to catch the man who stole her purse.
tt0100680,2Z5WH83Vhs8,Stanley practices his reading skills a little too loudly at the library.
tt0075268,KDQqlRIFcAQ,"At a barbeque, Joe offers to show Dorothy that not all weightlifters are homosexuals."
tt0100680,JOqFKM-dt5Y,Iris interviews an illiterate Stanley and records his answers.
tt0084732,QUTDoPuCUcg,"After following who he thinks is Brooke into the park, Sam runs into some unexpected trouble."
tt0122690,dKoFTEK7O_o,"In an effort to avoid the cops while parked in the car, Sam kisses Dierdre, and for fun, she kisses him back."
tt0075268,3iD4rM9utqc,Anita fights off some intruders at the gym.
tt0070653,qpLovLQoJ6c,"When the police arrest Scorpio for heroin, McLeod makes him an offer he can't refuse."
tt0070653,3eA0tlN-WMY,"Filchock visits Scorpio and informs him that Cross, the man he was supposed to kill, is back."
tt0084732,1NBRkyfy4lA,Sam reflects on a dream George once shared during one of their therapy sessions.
tt0385988,2ohNiVtAwJY,Percival saves Linet from the belly of the wolf.
tt0100680,2SnugUXqVJc,Stanley notices that Iris wears different sweaters depending on her mood.
tt0084732,O6frj4BOJJU,"Brooke forgets her keys in the house, which gives Gail the opportunity to isolate her victims."
tt0075268,Xk7IjHYLVH4,Craig and Mary Tate spend the night with each other.
tt0100680,N-VlQuj49a4,Iris tells Kelly about the exact moment she began to understand motherhood.
tt0070653,9GagOWlFd-U,Cross loses his pursuers with some aggressive driving.
tt0107863,DdZNLekEcIQ,Lana discovers the truth about Carver and Father Time meets his end.
tt0075268,9fnjkSES3VM,Craig gets a personal workout with Joe.
tt0084732,2315p7LJusg,Sam bids arbitrarily on a painting in order to send Brooke a note warning her that the police have their eye on her.
tt0070653,rfix60WuBxs,Scorpio cleverly gives one of McLeod's men the slip in the hotel lobby.
tt0070653,df-YzAnQJpU,"Scorpio and another agent give chase to Cross, who fights back at a dangerous construction site."
tt0114287,Oum7mEtv05g,"After Montrose orders him to be hung from the bridge, Robert attacks Archibald, then escapes."
tt0100680,kA_BtqogJNk,Stanley tells Iris all about his recent successes and then proposes to her in a very practical way.
tt0107863,SzUPAc8HTOI,"During the shootout, Jesse tries to take out the Gatling gun with some dynamite."
tt0075268,Pbr6HpxJYm4,"At an old country hoedown, Joe plays some music and Craig drinks some moonshine."
tt0070653,i6ymVjU5hno,Cross sets up a secret meeting with Scorpio to warn him that McLeod is not all that he seems.
tt0070653,IVZd3YBqxEc,"Zharkov explains to Cross why, in spite of all that has happened to him, he is still a Communist."
tt0122690,7gc1EIrxjws,Dierdre and her team chase the target through the Italian countryside.
tt0100680,dw2jrtR9Px4,Stanley offers to iron for Iris after she tells him how stressful her day has been.
tt0114287,wosztGGnWt4,"Lord Montrose makes a deal with Robert for his land, while alternately complimenting and insulting him."
tt0075268,Mr8aBk7ub2g,Joe competes in the Mr. Universe competition.
tt0075268,EshEWL1ZhCc,"Backstage at the Mr. Universe competition, Joe explains to Craig that it is important to ""stay hungry."""
tt0084732,rfeKwl7Dyg0,"After the lights go out in the hallway to the laundry room, Sam hears strange noises and suspects he is not alone."
tt0075268,eJWSp6A1Ks0,The bodybuilders take over the streets following the Mr. Universe competition.
tt0086999,PZ93GNHBHsE,"Turbo dances on the ceiling, which impresses his chicky-babe, Lucia."
tt0086999,89g2af1Qw0I,"Kelly and the gang dance and sing their way to Miracles, a dance community center."
tt0086999,kjd3eUIBSj0,"After revealing to Ozone that she might be leaving for Paris, Kelly finds herself on the receiving end of some serious threats from Ozone's ex-girlfriend."
tt0086999,l53Q1UXk2DE,A downtrodden hospital comes to life with the power of dance.
tt0086999,KzVgbCFwn0U,"When Turbo asks Ozone for advice on how to get the attention of a girl, a sudden and bizarre rivalry ensues between them."
tt0086999,a-Z66uN97Ds,"As the bulldozers come to raze the Miracles Community Center, Turbo takes a stand and creates a miracle of his own."
tt0071746,p0CKoz0u6Eo,Lenny talks about the sexual needs of men compared to women.
tt0118900,QL4mGMAjHBg,Cynthia sticks up for the man that Divinci and Rodriguez forced her to pick out of a lineup.
tt0102103,Fk17A1jyjKo,"When Chopin breaks off his kiss with Sand, she encourages him to get some fresh air, which leads to him getting slapped."
tt0102103,petKvkHfPJo,"Chopin leaves dinner due to a coughing fit, while de Musset gets challenged to a duel."
tt0059287,ZkCH653K2cc,"Peachy Keane leads the ad men in a song praising their boss, B.D. MacPherson."
tt0089348,4PcE-gNqFfU,Hunter drives his truck into a mall shootout.
tt0102005,8YCMjAOgFpo,The Marlboro Man has a final showdown with Chance Wilder.
tt0102005,SMYJOm56YvY,"When Alexander holds the Marlboro Man hostage, Harley tries his best to help."
tt0251114,1_vxyocjxg0,McNamara puts his life on the line in the stead of his soldiers.
tt0093200,MvYuTdiMcRk,"Bobby introduces Hollywood's first Black Acting School, complete with Jive Talk 101 and other offensive stereotypes."
tt0059287,tr3ORGLT_W8,The only way to know how to stuff a wild bikini is to sing about it.
tt0093200,IL_B1fmfl_c,Bobby and Tyrone imagine what it would be like if they hosted their own movie review show.
tt0102103,LDsysmP_8yo,A drunken de Musset tries for one more tryst with Sand before his duel.
tt0080895,KmCgqSJnzrc,A little league game turns ugly when tensions between Max and Tom boil over.
tt0102005,54SNIVms9vo,"After taking heavy fire from Alexander, Harley Davidson and the Marlboro Man escape through the back window."
tt0080895,_WzzevY4_Ys,"Alarmed to find a police car out front, Elaine is relieved to discover that it's only a visit from Jack."
tt0102103,oKmBIC6X6Fs,Sand professes her love for Chopin and reveals herself to be the author of the love letter.
tt0102005,ktFZq_8XXOg,The Marlboro Man explains his five rules of shooting pool.
tt0102103,Uw98q-YIFec,D'Agoult tries to convince Liszt to sabotage the potential relationship between Sands and Chopin.
tt0093200,pE5pl9UG93I,"Bobby feels too guilty playing a negative stereotype, so he quits the movie."
tt0080895,_8N1uJZUyaY,"Distracted by Elaine, some mall cops drive a security cart into a light pole, smashing the ball and sending cash everywhere."
tt0102103,OcNjc5lfvpM,"Chopin faints during his duel, leaving Sand to finish off the job."
tt0102005,tVfrMp_MWw4,Harley Davidson asks the Marlboro Man some philosophical questions.
tt0059287,VEgR-CiTK2E,"Through song, Frankie and Dee Dee reveal their subtle lamentation at having to settle for second best when it comes to matters of the heart."
tt0102103,AGUMsaszNKM,D'Agoult gives Sand advice for wooing Chopin.
tt0080895,x21gkEu5lKc,"Elaine finally catches up with Louise and Jane, who are distraught until a bag of money reappears."
tt0102103,pmC3rsgHD9E,Chopin is shocked to discover Sand hiding under his piano as he plays.
tt0102103,g2dAymk715E,"De Musset writes a play satirizing his hosts, Chopin protests, and an explosion ends the performance."
tt0059287,61_aprVh2FQ,Ricky rebuffs Von Zipper's intimidation tactic and makes a fool out of him.
tt0093200,iG4GVhx6oGc,A series of actors audition for the roles of stereotypical ethnic gangsters.
tt0093200,Wo3qdzlpPdg,Struggling actor Bobby finally lands a role.
tt0093200,5RzSW0dc9dE,Bobby feels guilty that his acting debut as a street pimp will enforce negative stereotypes of African-Americans.
tt0093200,pt-Ir7xS29Y,Members of the community tell the press their strong feelings against Bobby Taylor and come to the conclusion that he has to die.
tt0059287,khg8XoyKzs4,"When 'Peachy' Keane selects Cassandra as his spokesmodel, the other bikini babes try to serenade him into thinking otherwise."
tt0059287,PJQ2AiURctI,"Ricky defends Dee Dee from a home invasion by Pete, a member of the biker gang, The Rats."
tt0059287,PBHZhxrhO4E,Dee Dee is declared the 'girl next door' when she wins the motorcycle race by disqualification.
tt0085672,sIB8AdUqEqg,Hercules defeats two charioteers during one of the King's tests.
tt0059287,qfIzHlWOiuE,"When Dee Dee learns that her boyfriend -- currently overseas -- is cheating on her, she decides to do something about it."
tt0102103,7w2iVXAHiPk,"Sand and D'Agoult marvel as Liszt performs, and Duchess D'Antan prepares for Sand's arrival."
tt0085672,qkjpTwOa0GY,"Ariadne tries to kill Hercules, but he escapes."
tt0102103,d_jEVMQc0ig,Duchess D'Antan barely contains her excitement as she welcomes Sand and her companions to her home.
tt0093200,PSmJNK9zhR0,"One hooker tries to warn the others about street pimps that are out on the attack, but when one hooker doesn't listen, she pays for her mistake."
tt0059287,z9MEhN5rjmg,Frankie gets transported back home with the help of the witch doctor Bwana and his daughter.
tt0085672,I1CjDw569ss,Hercules creates the great continents by separating Europe from Africa.
tt0080895,5UKpz6Gsyu4,"Jack tells Elaine how he really feels about her, and they kiss."
tt0085672,NvPYToFoU2M,"Hercules battles a giant robot on the isle of Thera, but Circe dies."
tt0085672,koX0RDUQHFs,Hercules and Circe create a magical chariot and take a ride into space.
tt0093200,65ltaw4SF38,"Ace interrogates Jheri about his whereabouts the night of the murder, and holds his curl activator as ransom."
tt0080895,YBQ90wbJ7MY,"To determine if she's psychologically capable of committing robbery, Jane attempts to steal from a supermarket."
tt0093200,GxMoPTqev8g,Rambro reenacts a scene from Rambo.
tt0085672,6i3eC2gzxXA,Hercules' father is impressed when Hercules uproots a tree with his bare hands.
tt0085672,VwE2USOqfNg,Hercules battles a fearsome winged creature.
tt0085672,D_5kpc0cUWk,Hercules defeats King Minos to save Cassiopeia.
tt0068673,WrYDmyHlxqY,Hammer defeats Irish Joe Brady and takes the championship.
tt0093200,2NLGmRYLvsY,Bobby daydreams about fame when his boss Donald threatens to fire him if he doesn't get his act together.
tt0080895,lRVUsY_rcCo,"In order to distract the shopping mall crowd from the robbery, Elaine starts to strip on stage."
tt0109913,3_NMhC6GR04,"After Max finishes cutting Ely's nails, they start to make out and get intimate."
tt0109913,vyN2oD5tI80,Evy is confronted by her mother for being a lesbian.
tt0118900,otQ_oCvSq6E,"Arthur tricks Cynthia into admitting that she knew ""Joe"" before his supposed crime, thus destroying her false testimony."
tt0109913,qUMSld6BwC0,The girls sit around and talk about what to call their private parts.
tt0085672,7DhLw2aNu_Y,Hercules rescues Cassiopeia and takes care of Ariadne.
tt0085672,yXeBhFzqzfY,Hercules saves his father from a savage bear and creates a new constellation.
tt0093200,BUAPTnpOdVM,Speed and Tyrone give two thumbs down to a movie they watch starring Dirty Larry.
tt0109913,lbIbVWmpcCg,"When the girls play a drinking game, some secrets get revealed."
tt0068673,worFlbNJG_w,Hammer finds out from Big Sid that Lois has been kidnapped in order to force him to throw the fight.
tt0080895,lwo1GnbKOW8,"Unable to use her garage door opener, Elaine calls the Power and Light man, who doesn't believe her story."
tt0085672,wrYcEEv737c,"Hercules is trapped with a creepy old witch, who turns out to be a powerful ally."
tt0118900,QC4b5Aoff1I,Divinci justifies their actions when Rodriguez's conscience starts to kick in.
tt0080895,Ubr_vvAzvtA,Louise visits Albert at his office to ask for money to cover her antique business.
tt0068673,k1fiQFCN2Zs,Hammer jumps Brenner in a parking garage and takes him out.
tt0109913,E_tzgBTGxEM,"Max tries to console Evy after she is kicked out of her house, but she only manages to aggravate Evy even more."
tt0109913,ytQv31xRLGo,Max and Kia debate their tastes in women and dating styles as Kia tries to find Max a girl.
tt0118900,i4GeD9FWdG4,"Divinci and Rodriguez consider their circumstances after they learn that the homeless man they pinned the murder on is actually a ""saintly"" surgeon."
tt0109913,nSEGOd89xWw,Ely and Max tell their friends separately about what happened on their date the night before.
tt0080895,O0twX6iB62U,"During lunch at the mall, Louise, Jane and Elaine brainstorm ideas for making money."
tt0080895,Yg7ulcF39e8,Louise storms out on Albert when she learns that he's suing her to force her into bankruptcy.
tt0109913,hdaAD9fxKXA,Max fantasizes about Ely at the breakfast table and what it would be like if they dated.
tt0080895,FzOGfMXmfF0,"Elaine returns home to find a message from her husband telling her that he won't be coming home tonight, or ever."
tt0068673,S8WazHAxJLM,Hammer makes quite an impression on some men nearby after he brutally wins a fight against Riley.
tt0109913,xvVqMR_f6IY,Ely and Max get to know each other better when they have a conversation over the phone.
